Timestamp,Latitude,Longitude,Elevation,Speed
1742918979.0,49.38426667,1.06879,127.0,0.254
1742918980.0,49.384275,1.06878833,126.2,1.904
1742918981.0,49.38427667,1.068805,126.2,1.804
1742918982.0,49.38428,1.06880667,125.2,1.519
1742918983.0,49.384285,1.068815,124.4,0.768
1742918984.0,49.38428333,1.06883,123.9,0.583
1742918985.0,49.384285,1.06884167,123.2,0.552
1742918986.0,49.38428333,1.06884667,123.3,0.0
1742918987.0,49.384285,1.06885667,123.1,0.0
1742918988.0,49.384295,1.06885333,121.8,0.0
1742918989.0,49.38429833,1.06884333,122.0,0.0
1742918990.0,49.384305,1.06883833,121.4,0.0
1742918991.0,49.38430833,1.068845,120.8,0.0
1742918992.0,49.38430667,1.06885833,120.4,0.0
1742918993.0,49.38431,1.068875,120.4,0.0
1742918994.0,49.38431,1.06888333,120.3,0.0
1742918995.0,49.38430333,1.068895,120.2,0.0
1742918996.0,49.38429833,1.06890833,119.9,0.0
1742918997.0,49.384295,1.06892667,119.5,0.0
1742918998.0,49.38429167,1.06894333,119.1,0.0
1742918999.0,49.384285,1.06895667,118.9,0.0
1742919000.0,49.38427833,1.06896833,118.8,0.0
1742919001.0,49.384275,1.06898,118.6,0.0
1742919002.0,49.38425833,1.06899,118.7,0.0
1742919003.0,49.38424167,1.069,118.7,0.0
1742919004.0,49.38423333,1.06900833,118.5,0.0
1742919005.0,49.38423,1.06902833,118.4,0.0
1742919006.0,49.38422833,1.06904667,118.1,0.0
1742919007.0,49.38422333,1.06906333,118.0,0.0
1742919008.0,49.384215,1.06907833,117.9,0.0
1742919009.0,49.38421,1.069095,117.8,0.0
1742919010.0,49.38419667,1.06911167,117.8,0.0
1742919011.0,49.38419833,1.06912333,117.6,0.0
1742919012.0,49.38419333,1.06913833,117.4,0.0
1742919013.0,49.38419,1.06913833,117.5,0.0
1742919014.0,49.38417167,1.06913833,117.4,0.0
1742919015.0,49.38416,1.06913833,117.5,0.0
1742919016.0,49.38415667,1.06913667,117.2,0.0
1742919017.0,49.38416167,1.06914333,117.0,0.0
1742919018.0,49.38416167,1.06914,116.8,0.0
1742919019.0,49.38416833,1.06913833,116.7,0.0
1742919020.0,49.38416833,1.06914167,116.7,0.0
1742919021.0,49.38415833,1.06913833,116.7,0.0
1742919022.0,49.38414167,1.069125,116.7,0.0
1742919023.0,49.384135,1.06912,116.7,0.0
1742919024.0,49.38413,1.069115,116.7,0.0
1742919029.0,49.38414333,1.06921667,116.5,0.0
1742919030.0,49.38415667,1.06926167,116.4,0.0
1742919031.0,49.384165,1.06930167,116.4,0.0
1742919032.0,49.38417,1.06935,116.3,0.0
1742919033.0,49.384155,1.06944167,115.9,0.0
1742919034.0,49.38414333,1.069495,115.9,0.0
1742919035.0,49.38411833,1.069545,115.7,0.0
1742919036.0,49.38412167,1.06954667,115.7,0.0
1742919037.0,49.38408167,1.06957167,115.5,0.0
1742919038.0,49.38409167,1.06956667,115.7,0.0
1742919039.0,49.38409667,1.06957667,115.8,0.0
1742919040.0,49.384095,1.06960167,115.8,0.0
1742919041.0,49.38409,1.06958167,115.7,0.0
1742919042.0,49.38408833,1.06957833,116.3,0.0
1742919043.0,49.38408667,1.06959167,116.8,0.0
1742919044.0,49.38409333,1.06961667,117.1,0.0
1742919045.0,49.3841,1.06964667,117.4,0.0
1742919046.0,49.38410333,1.06967333,117.4,0.0
1742919047.0,49.38410833,1.06970333,117.6,0.0
1742919048.0,49.384115,1.06975167,118.3,1.289
1742919049.0,49.38413,1.06974167,117.9,1.282
1742919050.0,49.38414167,1.06977,118.2,1.28
1742919051.0,49.384145,1.06980167,118.4,0.0
1742919052.0,49.38415333,1.06981667,118.5,1.368
1742919053.0,49.38416333,1.069835,118.5,1.377
1742919054.0,49.38417,1.06985667,118.4,1.388
1742919055.0,49.38416833,1.069875,118.4,1.403
1742919056.0,49.38416833,1.06989667,118.5,1.352
1742919057.0,49.38417167,1.06991167,118.7,1.292
1742919058.0,49.384175,1.06992167,118.7,1.223
1742919059.0,49.384175,1.06991833,118.3,1.196
1742919060.0,49.384175,1.069935,118.5,1.146
1742919061.0,49.38417833,1.06994833,118.7,1.114
1742919062.0,49.38419333,1.06998,118.5,1.125
1742919063.0,49.38419667,1.07001333,118.1,1.127
1742919064.0,49.38420333,1.070045,117.4,1.138
1742919065.0,49.38421,1.070075,116.5,1.162
1742919066.0,49.38420167,1.07010167,115.7,1.196
1742919067.0,49.38419167,1.07011167,115.3,1.212
1742919068.0,49.38418667,1.07012667,115.2,1.203
1742919069.0,49.38418167,1.07013333,114.9,1.198
1742919070.0,49.38418167,1.07014333,114.7,1.193
1742919071.0,49.384185,1.07015667,114.6,1.184
1742919072.0,49.38418333,1.07017167,114.4,1.158
1742919073.0,49.38418,1.07018667,114.3,1.141
1742919074.0,49.38416333,1.07019333,114.1,1.105
1742919075.0,49.38415333,1.07020333,114.1,1.06
1742919076.0,49.38413833,1.07021333,114.0,1.033
1742919077.0,49.38413333,1.070235,113.9,1.059
1742919078.0,49.38412667,1.07025833,113.9,1.113
1742919079.0,49.38412,1.070285,113.6,1.164
1742919080.0,49.38412333,1.07030833,113.5,1.206
1742919081.0,49.38413,1.07032833,113.8,1.244
1742919082.0,49.38413167,1.07035,114.2,1.273
1742919083.0,49.38412833,1.07036833,114.4,1.29
1742919084.0,49.38412833,1.07038667,114.6,1.292
1742919085.0,49.38413333,1.07040833,115.2,1.295
1742919086.0,49.38415333,1.07042667,118.0,1.304
1742919087.0,49.384165,1.070445,118.0,1.3
1742919088.0,49.38417333,1.07045833,118.2,1.288
1742919089.0,49.38418667,1.070475,118.5,1.251
1742919090.0,49.38421833,1.07048833,120.2,1.236
1742919091.0,49.38424167,1.07049333,121.0,1.204
1742919092.0,49.38425,1.07048833,121.1,1.162
1742919093.0,49.38425833,1.07047833,121.3,1.148
1742919094.0,49.384265,1.07047333,121.4,1.126
1742919095.0,49.38426667,1.07046167,121.4,1.098
1742919096.0,49.38426833,1.070445,121.2,1.092
1742919097.0,49.38427167,1.07043,121.3,1.063
1742919098.0,49.38428667,1.07042667,120.8,1.083
1742919099.0,49.3843,1.07041833,119.5,1.127
1742919100.0,49.384305,1.07040833,118.5,1.124
1742919101.0,49.38432,1.07039833,117.6,1.143
1742919102.0,49.38432167,1.07038667,117.4,1.164
1742919103.0,49.38431333,1.07036833,117.2,1.208
1742919104.0,49.38431167,1.07034833,117.1,1.254
1742919105.0,49.384305,1.07032667,116.7,1.304
1742919106.0,49.38430167,1.07030333,116.0,1.332
1742919107.0,49.38429833,1.07028167,115.4,1.346
1742919108.0,49.38429667,1.07026167,114.7,1.352
1742919109.0,49.384295,1.070235,114.0,1.379
1742919110.0,49.38429833,1.07021333,113.9,1.425
1742919111.0,49.384295,1.07018667,113.2,1.452
1742919112.0,49.384295,1.07016667,113.0,1.51
1742919113.0,49.384295,1.07014167,113.0,1.531
1742919114.0,49.384295,1.070115,113.0,1.574
1742919115.0,49.38428667,1.070085,113.0,1.607
1742919116.0,49.38427833,1.070055,112.9,1.646
1742919117.0,49.38427,1.07002833,112.9,1.688
1742919118.0,49.38426333,1.07000333,112.9,1.705
1742919119.0,49.38425167,1.06998,113.0,1.658
1742919120.0,49.38424333,1.06996,113.0,1.616
1742919121.0,49.38423833,1.06993833,112.9,1.611
1742919122.0,49.38423833,1.06991833,112.9,1.583
1742919123.0,49.38424,1.06989833,112.9,1.643
1742919124.0,49.38425333,1.06979833,113.3,0.0
1742919125.0,49.38425167,1.06978,112.2,0.0
1742919126.0,49.38426,1.06975,113.1,0.0
1742919127.0,49.38426667,1.06972,115.3,1.498
1742919128.0,49.38427,1.06970667,115.4,1.447
1742919129.0,49.38427167,1.06968833,115.0,1.444
1742919130.0,49.38427333,1.06966667,116.0,1.429
1742919131.0,49.38428333,1.06964833,117.0,0.0
1742919132.0,49.38428667,1.06963667,117.7,0.0
1742919133.0,49.38428833,1.06963167,118.4,1.072
1742919134.0,49.38428667,1.06962167,119.3,0.0
1742919135.0,49.384285,1.069615,120.0,0.867
1742919136.0,49.38428,1.06960667,121.8,0.814
1742919137.0,49.38427667,1.06960833,122.9,0.0
1742919138.0,49.38427667,1.06961667,123.6,0.0
1742919139.0,49.38427333,1.06960333,124.5,0.0
1742919140.0,49.38427333,1.06959,125.1,0.0
1742919141.0,49.384255,1.06958833,127.6,0.0
1742919142.0,49.38426167,1.069565,128.0,0.0
1742919143.0,49.38427,1.06955,128.1,0.0
1742919144.0,49.38427333,1.06952833,128.4,0.0
1742919145.0,49.38427333,1.06950667,128.7,0.0
1742919146.0,49.38427,1.06948333,129.0,0.0
1742919147.0,49.38427167,1.06947,129.2,0.0
1742919148.0,49.384265,1.06946333,129.5,0.0
1742919149.0,49.38428167,1.06946333,129.6,0.0
1742919150.0,49.38429,1.06945,129.8,0.0
1742919151.0,49.384295,1.06942667,129.9,0.0
1742919152.0,49.38429167,1.06942,129.8,0.0
1742919153.0,49.384295,1.06940667,130.4,0.0
1742919154.0,49.38429667,1.0694,130.5,0.0
1742919155.0,49.3843,1.06938667,130.5,0.0
1742919156.0,49.38430167,1.06936167,130.5,0.0
1742919157.0,49.38431667,1.06932167,130.0,0.0
1742919158.0,49.38433667,1.06928667,130.0,0.0
1742919159.0,49.38435333,1.06926667,127.2,0.0
1742919160.0,49.384365,1.06924167,122.2,0.0
1742919161.0,49.38437,1.06924333,121.6,0.0
1742919162.0,49.38436333,1.06921667,121.1,0.0
1742919163.0,49.38437333,1.069205,119.7,0.0
1742919164.0,49.38436833,1.06918833,119.7,0.0
1742919165.0,49.38439167,1.06920333,117.9,0.0
1742919166.0,49.38439667,1.06920833,117.9,0.0
1742919167.0,49.3844,1.0692,118.0,0.0
1742919168.0,49.38439667,1.06920333,117.9,0.0
1742919169.0,49.384405,1.06919,117.8,0.0
1742919170.0,49.38441333,1.06917,118.0,0.0
1742919171.0,49.38441333,1.06915667,118.2,0.0
1742919172.0,49.38441,1.06913,118.4,0.0
1742919173.0,49.38440333,1.06910833,118.4,0.0
1742919174.0,49.38439333,1.06905167,121.6,0.0
1742919175.0,49.384385,1.06901333,123.0,0.0
1742919176.0,49.38438,1.06899833,123.3,0.0
1742919177.0,49.38436833,1.068975,123.6,0.0
1742919178.0,49.38436833,1.06896167,123.8,0.0
1742919179.0,49.38435667,1.06895,124.1,0.0
1742919180.0,49.38434167,1.06893667,124.4,0.0
1742919181.0,49.38433667,1.06891,124.7,0.0
1742919182.0,49.384345,1.06888833,125.2,0.0
1742919183.0,49.38432667,1.06886667,125.6,1.523
1742919184.0,49.38432667,1.06887,126.3,1.411
1742919185.0,49.38430667,1.06884833,126.8,0.0
1742919186.0,49.38430333,1.06883667,127.2,0.0
1742919187.0,49.38430333,1.068835,127.6,0.0
1742919188.0,49.38431833,1.06884167,128.0,0.0
1742919189.0,49.38432667,1.06884667,128.2,0.0
1742919190.0,49.38432833,1.06884167,128.3,0.0
1742919191.0,49.38432333,1.06882167,128.8,0.84
1742919192.0,49.38431667,1.068815,129.1,0.73
1742919193.0,49.38431833,1.068815,129.4,0.0
1742919194.0,49.38429,1.06881333,129.1,0.0
1742919195.0,49.38429833,1.068805,128.8,0.0
1742919196.0,49.384305,1.06879167,128.9,0.0
1742919197.0,49.38435167,1.06869667,129.2,0.0
1742919198.0,49.38438667,1.06865167,128.9,0.0
1742919199.0,49.38444167,1.068625,130.0,0.0
1742919200.0,49.38448167,1.068595,131.3,0.0
1742919201.0,49.384505,1.06858833,131.7,0.0
1742919202.0,49.38452833,1.06858,132.0,0.0
1742919203.0,49.38453833,1.06857833,132.8,0.0
1742919204.0,49.38455667,1.068585,133.5,0.0
1742919205.0,49.38457,1.06859667,134.3,0.0
1742919206.0,49.38455167,1.0686,134.9,0.0
1742919207.0,49.38453167,1.068615,135.0,0.0
1742919208.0,49.38452333,1.06863167,135.2,0.0
1742919209.0,49.38451333,1.06863667,135.2,1.203
1742919210.0,49.38449833,1.06863667,134.9,0.0
1742919211.0,49.38449333,1.06864333,135.2,0.0
1742919212.0,49.38449167,1.068645,134.9,0.0
1742919213.0,49.38449167,1.06864333,134.7,0.896
1742919214.0,49.38449,1.06863333,134.7,0.0
1742919215.0,49.384485,1.06863,134.7,0.0
1742919216.0,49.38447833,1.06862333,134.6,0.0
1742919217.0,49.38448167,1.06863,134.8,0.0
1742919218.0,49.38448167,1.06863167,134.6,0.0
1742919219.0,49.38448,1.06865,134.7,0.0
1742919220.0,49.38447667,1.06867333,135.4,0.0
1742919221.0,49.38446833,1.068705,140.6,0.0
1742919222.0,49.38445667,1.06870167,140.3,0.0
1742919223.0,49.38444667,1.06870333,140.0,0.0
1742919224.0,49.38441833,1.06867833,135.5,0.0
1742919225.0,49.384405,1.06868833,135.4,0.0
1742919226.0,49.384395,1.06869667,135.4,0.0
1742919227.0,49.38438667,1.06871,134.9,0.0
1742919228.0,49.38437167,1.06870333,133.8,0.0
1742919229.0,49.38434167,1.06874,133.7,0.0
1742919230.0,49.38433333,1.06875,133.4,0.0
1742919231.0,49.38433667,1.06877833,132.4,0.0
1742919232.0,49.38435333,1.06879167,130.3,0.0
1742919233.0,49.38433833,1.06879667,129.3,0.0
1742919243.0,49.38433833,1.06879333,122.9,0.0
